央视频道,#genre#
CCTV-1综合,http://192.168.50.1:8888/rtp/239.77.0.86:5146
CCTV-2财经,http://192.168.50.1:8888/rtp/239.253.43.17:5146
CCTV-3综艺,http://192.168.50.1:8888/rtp/239.77.0.175:5146
CCTV-4中文国际,http://192.168.50.1:8888/rtp/239.77.0.78:5146
CCTV-4中文国际美洲,http://192.168.50.1:8888/rtp/239.253.43.121:5146
CCTV-4中文国际欧洲,http://192.168.50.1:8888/rtp/239.253.43.120:5146
CCTV-5体育,http://192.168.50.1:8888/rtp/239.77.0.177:5146
CCTV-5+体育赛事,http://192.168.50.1:8888/rtp/239.77.0.87:5146
CCTV-6电影,http://192.168.50.1:8888/rtp/239.77.0.178:5146
CCTV-7国防军事,http://192.168.50.1:8888/rtp/239.77.1.167:5146
CCTV-8电视剧,http://192.168.50.1:8888/rtp/239.77.0.181:5146
CCTV-9纪录,http://192.168.50.1:8888/rtp/239.77.1.168:5146
CCTV-10科教,http://192.168.50.1:8888/rtp/239.77.1.169:5146
CCTV-11戏曲,http://192.168.50.1:8888/rtp/239.77.1.108:5146
CCTV-12社会与法,http://192.168.50.1:8888/rtp/239.77.1.170:5146
CCTV-13新闻,http://192.168.50.1:8888/rtp/239.77.0.188:5146
CCTV-14少儿,http://192.168.50.1:8888/rtp/239.77.1.171:5146
CCTV-15音乐,http://192.168.50.1:8888/rtp/239.77.1.239:5146
CCTV-16奥林匹克,http://192.168.50.1:8888/rtp/239.77.0.165:5146
CCTV-16奥林匹克4K超高清,http://192.168.50.1:8888/rtp/239.77.1.98:5146
CCTV-17农业农村,http://192.168.50.1:8888/rtp/239.77.0.198:5146
CCTV-4K超高清,http://192.168.50.1:8888/rtp/239.77.0.174:5146
CGTN-英语,http://192.168.50.1:8888/rtp/239.77.0.199:5146
CGTN-纪录,http://192.168.50.1:8888/rtp/239.253.43.122:5146
CGTN-西班牙语,http://192.168.50.1:8888/rtp/239.77.0.221:5146
CGTN-法语,http://192.168.50.1:8888/rtp/239.77.0.228:5146
